datasets,spl,single_ans,prompt,answer
argsum,sample,Evidence,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is an Evidence or Non-evidence. Utilize the [TOPIC] and the [ARGUMENT] as context to support your decision\nYour answer must be in the following format with only Evidence or Non-evidence in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': '[TOPIC]: We should subsidize vocational education\n[ARGUMENT]: subsidizing vocational education is expensive\n[SENTENCE]: A report by the National Skills Coalition in 2019 found that subsidizing vocational education can reduce funding for other important programs, such as financial aid, student support services, and research and development.\n'}, {'role': 'assistant', 'content': '<|ANSWER|>Evidence<|ANSWER|>.'}]",['Evidence']
argsum,sample,Evidence,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is an Evidence or Non-evidence. Utilize the [TOPIC] and the [ARGUMENT] as context to support your decision\nYour answer must be in the following format with only Evidence or Non-evidence in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': '[TOPIC]: We should abandon marriage\n[ARGUMENT]: Marriage benefits children\n[SENTENCE]: Research suggests that those who are married (when compared with non-married or cohabitating couples) live longer, have lower rates of physical and mental illness, are better off financially, experience higher sexual and relationship satisfaction, and have better parenting outcomes.\n'}, {'role': 'assistant', 'content': '<|ANSWER|>Evidence<|ANSWER|>.'}]",['Evidence']
argsum,sample,Evidence,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is an Evidence or Non-evidence. Utilize the [TOPIC] and the [ARGUMENT] as context to support your decision\nYour answer must be in the following format with only Evidence or Non-evidence in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': ""[TOPIC]: We should end mandatory retirement\n[ARGUMENT]: A mandatory retirement is not fair/discriminatory\n[SENTENCE]: A study by the National Bureau of Economic Research (NBER) in 2016 found that mandatory retirement ages can limit older workers' earning potential, as they are forced to retire, reducing their income and financial security.\n""}, {'role': 'assistant', 'content': '<|ANSWER|>Evidence<|ANSWER|>.'}]",['Evidence']
argsum,sample,Evidence,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is an Evidence or Non-evidence. Utilize the [TOPIC] and the [ARGUMENT] as context to support your decision\nYour answer must be in the following format with only Evidence or Non-evidence in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': '[TOPIC]: Homeschooling should be banned\n[ARGUMENT]: Mainstream schools are essential to develop social skills\n[SENTENCE]: There are also other experiences that homeschooled children miss out on. Schools offer work experience opportunities, the ability to participate in sports leagues, and opportunities for recognition and reward (for example, during assemblies). Those who are taught at home do not experience these things, and might feel as though they have missed out.\n'}, {'role': 'assistant', 'content': '<|ANSWER|>Evidence<|ANSWER|>.'}]",['Evidence']
argsum,sample,Evidence,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is an Evidence or Non-evidence. Utilize the [TOPIC] and the [ARGUMENT] as context to support your decision\nYour answer must be in the following format with only Evidence or Non-evidence in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': '[TOPIC]: We should abandon marriage\n[ARGUMENT]: Marriage is important for people, either generally or because of religious/traditional reasons\n[SENTENCE]: Marriage is more than a physical union; it is also a spiritual and emotional union. Marriage is the beginning—the beginning of the family—and is a life-long commitment. It also provides an opportunity to grow in selflessness as you serve your wife and children. Marriage is more than a physical union; it is also a spiritual and emotional union. This union mirrors the one between God and His Church.\n'}, {'role': 'assistant', 'content': '<|ANSWER|>Evidence<|ANSWER|>.'}]",['Evidence']
argsum,sample,Evidence,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is an Evidence or Non-evidence. Utilize the [TOPIC] and the [ARGUMENT] as context to support your decision\nYour answer must be in the following format with only Evidence or Non-evidence in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': ""[TOPIC]: We should subsidize journalism\n[ARGUMENT]: Government intervention has the risk of inserting bias/harming objectivity\n[SENTENCE]: Although being independent from the mainland's legal system and hence censorship laws, some Hong Kong media have been accused of practicing self-censorship in order to exchange for permission to expand their media business into the mainland market and for greater journalistic access in the mainland too.\n""}, {'role': 'assistant', 'content': '<|ANSWER|>Evidence<|ANSWER|>.'}]",['Evidence']
argsum,sample,Evidence,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is an Evidence or Non-evidence. Utilize the [TOPIC] and the [ARGUMENT] as context to support your decision\nYour answer must be in the following format with only Evidence or Non-evidence in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': '[TOPIC]: We should subsidize journalism\n[ARGUMENT]: Government intervention has the risk of inserting bias/harming objectivity\n[SENTENCE]: Political endorsements create more opportunities to construe favoritism in reporting, and can create a perceived conflict of interest.\n'}, {'role': 'assistant', 'content': '<|ANSWER|>Evidence<|ANSWER|>.'}]",['Evidence']
argsum,sample,Evidence,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is an Evidence or Non-evidence. Utilize the [TOPIC] and the [ARGUMENT] as context to support your decision\nYour answer must be in the following format with only Evidence or Non-evidence in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': '[TOPIC]: The USA is a good country to live in\n[ARGUMENT]: The US is a powerful country\n[SENTENCE]: With so many advantages and strengths, the U.S. towers over its rivals worldwide, despite misperceptions of the threats from China and Russia, says a Tufts political scientist.\n'}, {'role': 'assistant', 'content': '<|ANSWER|>Evidence<|ANSWER|>.'}]",['Evidence']
argsum,sample,Evidence,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is an Evidence or Non-evidence. Utilize the [TOPIC] and the [ARGUMENT] as context to support your decision\nYour answer must be in the following format with only Evidence or Non-evidence in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': ""[TOPIC]: We should ban the use of child actors\n[ARGUMENT]: Child performers are at risk of exploitation\n[SENTENCE]: In May 2006, Ross appeared on an E! Child Stars Special, Geeks, Freaks, and Sidekicks, where he revealed that during the taping of the very special episode of Diff'rent Strokes in which he was molested, he was going through a similar experience in real life; he was being 'touched' by a family friend inappropriately while he was asleep.\n""}, {'role': 'assistant', 'content': '<|ANSWER|>Evidence<|ANSWER|>.'}]",['Evidence']
argsum,sample,Evidence,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is an Evidence or Non-evidence. Utilize the [TOPIC] and the [ARGUMENT] as context to support your decision\nYour answer must be in the following format with only Evidence or Non-evidence in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': '[TOPIC]: The USA is a good country to live in\n[ARGUMENT]: The US has a negative culture\n[SENTENCE]: I struggle so much with this insane work culture in America. We are so freaking proud of working ourselves to death.\n'}, {'role': 'assistant', 'content': '<|ANSWER|>Evidence<|ANSWER|>.'}]",['Evidence']
argsum,sample,Evidence,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is an Evidence or Non-evidence. Utilize the [TOPIC] and the [ARGUMENT] as context to support your decision\nYour answer must be in the following format with only Evidence or Non-evidence in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': '[TOPIC]: We should abandon marriage\n[ARGUMENT]: Marriage makes people happy\n[SENTENCE]: It’s not marriage that makes you happy, it’s happy marriage that makes you happy, Gilbert said. Married people are happier than unmarried ones, perhaps because the single best predictor of human happiness is the quality of social relationships. Marriage seems to buy you a decade or more of happiness, Gilbert said. \n'}, {'role': 'assistant', 'content': '<|ANSWER|>Evidence<|ANSWER|>.'}]",['Evidence']
argsum,sample,Evidence,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is an Evidence or Non-evidence. Utilize the [TOPIC] and the [ARGUMENT] as context to support your decision\nYour answer must be in the following format with only Evidence or Non-evidence in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': ""[TOPIC]: We should abolish the right to keep and bear arms\n[ARGUMENT]: Gun ownership allows for mass-shootings/general gun violence\n[SENTENCE]: 'On the absolute scale, this means that a state like California, which has approximately two mass shootings per year, will have an extra mass shooting for every 10 unit increase in permissiveness over five years,' explain the researchers. 'It will also have three to five more mass shootings per five years for every 10 unit increase in gun ownership,' they add.\n""}, {'role': 'assistant', 'content': '<|ANSWER|>Evidence<|ANSWER|>.'}]",['Evidence']
argsum,sample,Evidence,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is an Evidence or Non-evidence. Utilize the [TOPIC] and the [ARGUMENT] as context to support your decision\nYour answer must be in the following format with only Evidence or Non-evidence in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': '[TOPIC]: The USA is a good country to live in\n[ARGUMENT]: The US has a negative culture\n[SENTENCE]: In a recent opinion piece for The New York Times, Anne-Marie Slaughter laments the state of the current American workplace, which she considers toxic by nature.\n'}, {'role': 'assistant', 'content': '<|ANSWER|>Evidence<|ANSWER|>.'}]",['Evidence']
argsum,sample,Evidence,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is an Evidence or Non-evidence. Utilize the [TOPIC] and the [ARGUMENT] as context to support your decision\nYour answer must be in the following format with only Evidence or Non-evidence in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': '[TOPIC]: We should legalize prostitution\n[ARGUMENT]: Legalization will lead to more sexually transmitted diseases\n[SENTENCE]: One of the sources for the spread of HIV in Africa is prostitution, with one study finding that encounters with prostitutes produced 84% of new HIV infections in adult males in Accra, Ghana. The spread of HIV from urban settings to rural areas in Africa has been attributed to the mobility of farmers who visit sex workers in cities, for example in Ethiopia.\n'}, {'role': 'assistant', 'content': '<|ANSWER|>Evidence<|ANSWER|>.'}]",['Evidence']
argsum,sample,Evidence,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is an Evidence or Non-evidence. Utilize the [TOPIC] and the [ARGUMENT] as context to support your decision\nYour answer must be in the following format with only Evidence or Non-evidence in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': '[TOPIC]: We should abandon the use of school uniform\n[ARGUMENT]: School uniforms create a sense of equality/unity\n[SENTENCE]: In a Texas survey of approximately one thousand middle schools, it was found that students in uniforms “reported significantly more positive perceptions of belonging in their school community than reported by students in the standard dress group” (David L. Brunsma).\n'}, {'role': 'assistant', 'content': '<|ANSWER|>Evidence<|ANSWER|>.'}]",['Evidence']
argsum,sample,Evidence,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is an Evidence or Non-evidence. Utilize the [TOPIC] and the [ARGUMENT] as context to support your decision\nYour answer must be in the following format with only Evidence or Non-evidence in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': '[TOPIC]: Social media platforms should be regulated by the government\n[ARGUMENT]: Social media regulation is not effective\n[SENTENCE]: Another California legislation, Senate Bill No. 1001, was signed into law last September and will go into effect in July. It purports to address the role of bots in fake news and advertising. But the law’s definition of “bot” is too broad, and the method it uses is a poor match for the goal it seeks to accomplish.\n'}, {'role': 'assistant', 'content': '<|ANSWER|>Evidence<|ANSWER|>.'}]",['Evidence']
