datasets,spl,single_ans,prompt,answer
comarg,sample,Against,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is For, Against or neutral. Utilize the [TOPIC] as context to support your decision\nYour answer must be in the following format with only For, Against or neutral in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': '[TOPIC]: Gay Marriage\n[SENTENCE]: Marriage is intended for a man and woman. Nothing more. God created Eve for Adam, woman for man. Not man for man or woman for woman. In the Bible, Leviticus 20: 10-21 lists all of the sexually immoral acts. Among that list IS homosexuality. It is an abomination to God. To say He created homosexuality is very very incorrect. Sin is not of God. Marriage is a sacred union between a man and a woman and should not be defiled by what is clearly wrong.\n'}, {'role': 'assistant', 'content': '<|ANSWER|>Against<|ANSWER|>.'}]",['Against']
comarg,sample,Against,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is For, Against or neutral. Utilize the [TOPIC] as context to support your decision\nYour answer must be in the following format with only For, Against or neutral in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': ""[TOPIC]: Gay Marriage\n[SENTENCE]: I think it should be illegal and never even spoken of. To all the atheist who say the bible plays no part it is what will guide me to paradise. Yes God exepts all sinners but that does not make murder right. I'm a teenager and I know how wrong it is. If I will get sued or be put out of society because of my views so help it but I will go to my grave defending the Holy word. I don't care if I'm killed because of it because I know I will at least see the pearly gates of Heaven. I don't care what people say about me I am a Christian and will keep the truth alive be it through my life or my death. Stop corrupting children's minds. My little brother should stay innocent yet is exposed to this appalling sin everyday.\n""}, {'role': 'assistant', 'content': '<|ANSWER|>Against<|ANSWER|>.'}]",['Against']
comarg,sample,Against,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is For, Against or neutral. Utilize the [TOPIC] as context to support your decision\nYour answer must be in the following format with only For, Against or neutral in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': '[TOPIC]: Gay Marriage\n[SENTENCE]: Immorality should never has A SAY,should never be accepted as something normal  .Marriage is between a man and a woman not between 2 men or 2 women .is against our nature ,against our God.\n'}, {'role': 'assistant', 'content': '<|ANSWER|>Against<|ANSWER|>.'}]",['Against']
comarg,sample,Against,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is For, Against or neutral. Utilize the [TOPIC] as context to support your decision\nYour answer must be in the following format with only For, Against or neutral in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': ""[TOPIC]: Under God in Pledge\n[SENTENCE]: Simple, maybe I believe in Allah, or the flying spaghetti monster, or no god at all. Why won't they put and to the republic, for which it stands, one nation under the flying spaghetti monster...?\n""}, {'role': 'assistant', 'content': '<|ANSWER|>Against<|ANSWER|>.'}]",['Against']
comarg,sample,Against,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is For, Against or neutral. Utilize the [TOPIC] as context to support your decision\nYour answer must be in the following format with only For, Against or neutral in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': ""[TOPIC]: Under God in Pledge\n[SENTENCE]: It's a con because America is supposed to be free to religion. I'm not saying it's not, but still. If a person from another race says the pledge at school or hears it at work everyday, they might get offended.\n""}, {'role': 'assistant', 'content': '<|ANSWER|>Against<|ANSWER|>.'}]",['Against']
comarg,sample,Against,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is For, Against or neutral. Utilize the [TOPIC] as context to support your decision\nYour answer must be in the following format with only For, Against or neutral in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': '[TOPIC]: Under God in Pledge\n[SENTENCE]: If under god remains, the pledge should be ammended to state, with liberty and justice for 80%.\n'}, {'role': 'assistant', 'content': '<|ANSWER|>Against<|ANSWER|>.'}]",['Against']
comarg,sample,Against,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is For, Against or neutral. Utilize the [TOPIC] as context to support your decision\nYour answer must be in the following format with only For, Against or neutral in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': ""[TOPIC]: Gay Marriage\n[SENTENCE]: What if a young boy walks in on daddy having sex with daddy?Try explaining the birds and the bees to that young boys impressionable mind.Just because men want to be women and women want to be men doesn't mean we ,as adults,should influence our younger generation to  follow in our selfish acts of sexual curiosity.\n""}, {'role': 'assistant', 'content': '<|ANSWER|>Against<|ANSWER|>.'}]",['Against']
comarg,sample,Against,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is For, Against or neutral. Utilize the [TOPIC] as context to support your decision\nYour answer must be in the following format with only For, Against or neutral in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': '[TOPIC]: Gay Marriage\n[SENTENCE]: One of my objections to same sex marriages is that it may give those people monetary advantages intended for normal married couples.  The prime example is that they would receive a reduction of their Federal, and probably State, income taxes if allowed file jointly.  If you go back and study the Congressional committee reports that established the Federal reduction of taxes for married couples, I believe you will find that it was based on the premise that a wife during her child bearing and rearing years will have reduced ability to contribute to the family income.  This may also apply to other government programs.  Assuming that the average voter would object to the reduction for same sex marriages, this may be an argument to oppose such marriages.  RH  Arlington, VA\n'}, {'role': 'assistant', 'content': '<|ANSWER|>Against<|ANSWER|>.'}]",['Against']
comarg,sample,Against,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is For, Against or neutral. Utilize the [TOPIC] as context to support your decision\nYour answer must be in the following format with only For, Against or neutral in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': ""[TOPIC]: Gay Marriage\n[SENTENCE]: If that's the case, then Jesus should have been born of Mary and Sandy and not Mary and Joseph....It didn't work like that in the old days and it shouldn't now... If we are a people under God then why don't we abide by his laws...Marriage is to be between man and woman not man and man or woman and woman!.... So please get your head out of the clouds and bring them back down the earth, wake up to reality, is this how we want to educate our children today; people don't notice it but now everyone is calling right wrong and wrong right...it's confusing children and producing more sin in the world!!!!!!!\n""}, {'role': 'assistant', 'content': '<|ANSWER|>Against<|ANSWER|>.'}]",['Against']
comarg,sample,Against,"[{'role': 'system', 'content': 'You are an expert in argumentation. Your task is to determine whether the given [SENTENCE] is For, Against or neutral. Utilize the [TOPIC] as context to support your decision\nYour answer must be in the following format with only For, Against or neutral in the answer section:\n<|ANSWER|><answer><|ANSWER|>.'}, {'role': 'user', 'content': ""[TOPIC]: Under God in Pledge\n[SENTENCE]: Atheism doesn't mean the absence of religion - it means the absence of a god in one's belief system.  Certain forms of Buddhism, for example are atheistic.  Therefore, requiring a statement of belief in a god is unconstitutionally preferring a majority religious belief over a minority one.  The point of the Pledge is to state allegiance to the flag and country.  If one believes in a god, there are many, many other forums in which to express that belief without imposing it on others.\n""}, {'role': 'assistant', 'content': '<|ANSWER|>Against<|ANSWER|>.'}]",['Against']
