datasets,spl,single_ans,conversations,answer
mtp1,sample,Claim,It is quite clear that Sunday should remain a day of rest.,['Claim']
mtp1,sample,Claim,It would therefore be wise to adjust the required effort for final theses accordingly.,['Claim']
mtp1,sample,Claim,Therefore universities should not charge tuition fees in Germany.,['Claim']
mtp1,sample,Claim,A reduction in the amount of chemically produced medication per person is most certainly desirable.,['Claim']
mtp1,sample,Claim,Intelligence services must urgently be regulated more tightly by parliament;,['Claim']
mtp1,sample,Claim,That's why causing such obstacles must to be more urgently punished.,['Claim']
mtp1,sample,Claim,the statutory retirement age should in the future not remain at 63 years.,['Claim']
mtp1,sample,Claim,We should go to the Baltic Sea on the weekend.,['Claim']
mtp1,sample,Claim,Rent prices should be limited by a cap when there's a change of tenant.,['Claim']
mtp1,sample,Claim,"Alternative treatments should be subsidized in the same way as conventional treatments,",['Claim']
mtp1,sample,Claim,Secret services must be more tightly regulated in order to prevent excessive surveillance.,['Claim']
mtp1,sample,Claim,That's why Germany should not introduce capital punishment!,['Claim']
mtp1,sample,Claim,School uniforms should be introduced in our schools again.,['Claim']
mtp1,sample,Claim,The TV license fee should only be collected from those who actually make use of the programming of the public broadcasters.,['Claim']
mtp1,sample,Claim,A cap on rent increases upon tenant change is therefore not to be supported.,['Claim']
mtp1,sample,Claim,Opening on Sundays and holidays would therefore help both customers and shops.,['Claim']
mtp1,sample,Claim,Thus one of his ex-girlfriends must have been there.,['Claim']
mtp1,sample,Claim,Tomorrow I will skydive for the first time in my life.,['Claim']
mtp1,sample,Claim,"Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc.",['Claim']
mtp1,sample,Claim,the EU should not intervene in local politics.,['Claim']
mtp1,sample,Claim,"No, the retirement age should be raised to 65 again.",['Claim']
mtp1,sample,Claim,The death penalty is a legal means that as such is not practicable in Germany.,['Claim']
mtp1,sample,Claim,That's why everyone should have an anti-virus programme on his or her Windows machine.,['Claim']
mtp1,sample,Claim,computer games should also not be recognized as Olympic events.,['Claim']
mtp1,sample,Claim,Health insurance companies should not cover treatment in complementary medicine,['Claim']
mtp1,sample,Claim,That's why we should not allow any additional bank rescues.,['Claim']
mtp1,sample,Claim,That's why intelligence services must be regulated in the framework of parliamentary oversight committees.,['Claim']
mtp1,sample,Claim,Video games ought to be included in the ranks of Olympic events.,['Claim']
mtp1,sample,Claim,The TV/radio licence fee can only be required of all citizens/households equally.,['Claim']
mtp1,sample,Claim,Today I will delete my Facebook account.,['Claim']
mtp1,sample,Claim,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.,['Claim']
mtp1,sample,Claim,"If there were higher fines for leaving dog dirt on pavements, there would presumably be less dog dirt,",['Claim']
mtp1,sample,Claim,the EU should intervene right away.,['Claim']
mtp1,sample,Claim,School uniforms should not be worn in our schools.,['Claim']
mtp1,sample,Claim,We urgently need a midfield replacement for the coming match.,['Claim']
