datasets,spl,single_ans,conversations,answer,trg
mtp1,sample,support,"due to the dirt, the stench and the often considerable effort to get rid of it.",['support'],Stepping in dog dirt is gross and absolutely ruins your day
mtp1,sample,support,and his pool of customers is shrinking constantly.,['support'],Peter should close his snack bar as soon as possible.
mtp1,sample,support,Furthermore there's the risk that women could use the over-the-counter morning-after pill as a substitute for contraception.,['support'],No one should have the possibility to pick up the morning-after pill over the counter at the pharmacy.
mtp1,sample,support,"Quality at universities has its price,",['support'],which is why students also ought to be involved in this cost factor.
mtp1,sample,support,A sad highlight: Losing 60:87 to the weakish Mannheimers in a sold-out stadium.,['support'],Especially the home games have seen the team stay behind expectations.
mtp1,sample,support,Every German citizen has a right to education.,['support'],Therefore universities should not charge tuition fees in Germany.
mtp1,sample,support,it could even be used for social housing with affordable rents.,['support'],"so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea."
mtp1,sample,support,"they’re very bad however, if the rent suddenly climbs by €100 or €200.",['support'],"If there must be rent increases, there should also be a cap to avoid nasty surprises."
mtp1,sample,support,A good grade for the thesis also significantly depends on the supervision of a dedicated teacher.,['support'],Due to the many random factors the bachelor thesis should not play a bigger role.
mtp1,sample,support,and constantly declining birth rates are being recorded.,['support'],"The implementation of retirement at 63 is no longer socially sustainable,"
mtp1,sample,support,"Besides, Jochen was given a parachute jump the other day as a gift,",['support'],Tomorrow I will skydive for the first time in my life.
mtp1,sample,support,Besides you're not allowed to leave other rubbish without punishment.,['support'],"Dog owners should pay higher fines for dog dirt left on pavements,"
mtp1,sample,support,Often natural treatments do not put as much of a strain on the patient.,['support'],The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.
mtp1,sample,support,for it jeopardizes the secrecy and security of confidential data and informants.,['support'],Parliamentary control however hampers the work of intelligence services
mtp1,sample,support,and how am I supposed to do that when the shops aren't open when I'm off work?,['support'],"Plus, the state wants me to spend my money, Well, I as an employee find it very practical to be able to shop at least on weekends."
